psraid,comp,cregion,rep,msa,fips,int_date,tz,usr,usr1,state,area,areaexch,q1,q2,q3a,q3b,q3c,q3d,q3e,q3f,q5,q6a,q6b,q7,q8,q9,q12,q12.1,q13,q14,q15,q16,datenew,activ01,activ17,activ33,activ54,activ58,activ71,activ73,activ82,activ87,q17,q19a,q19b,q19c,q19d,q19e,mar,mar2,mar3,mar4,margroup,date01a,date01b,date01c,date02_1,date02_2,date02_3,date02_4,date02_5,date02_6,date02_7,date02_8,date02_9,date02_0,date03,date04a,date04b,date05a,date05b,date05c,date05d,date05e,date05f,date06a,date06b,date06c,date06d,date06e,date06f,date06g,date06h,date07,date08,date09,date10,date11,date12,date12cd,date13,date13cd,date14,date15,date16,date17,sex,age,par,d2b,d2c,d2d,d2e,d2f,d2g,educ,empl,stud,hisp,race,polaf,polid,d6,d7,d8,d9,modem,bbw,inc,date02os,date12os,date13os,date14os,religos,modemos,recage2,density3,receduc,racethn,i_user,onldat,dow,e_user,homework,often,usertype,recq6ab,d2brec,child11,d2crec,child17,childol,online,long,olhome,olwork,student,denwt,file
33,1,3,84,13820,1117,92905,c,S,2,1,205,205669,9,3,1,1,2,4,2,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,91,2, , , , , , ,6,3,3,2,1,2,5,1,1, ,1, , ,3, , , , , , ,4,2,4,1,0,99,4,0,9,98,98,9, ,99, ,99,9, , , , ,3,1,1
34,1,3,116,13820,1073,100305,c,S,2,1,205,205680,1,2,1,1,1,4,2,3,1,1,1,1,1,2,10, , ,1,2, ,2,1,3, ,3,3,3,3,3,3,2,2,1,2,4,8,1, ,5, ,1,2, , , , , , , , , , , , , , , ,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2, ,1,2,2, , ,2, , , , , ,2,28,1,4,3, ,2, ,3,1,2,3,2,1,1,4,3,1, ,1,2, ,6, , , , , , ,1,3,1,1,1,2,1,1,1,1,4,1,2,1,2,1,1,1,6,0,2,3,2.20833333333333,1
35,1,3,118,13820,1073,92705,c,S,2,1,205,205744,1,2,1,1,9,9,9,9,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,35, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,19,2, , , , , , ,1,1,1,9,4,5,9,1,9,2, , , ,1, , , , ,COPTIC, ,1,3,1,4,0,99,2,0,9,98,98,9, ,99, ,99,9, , , , ,1,4.35,1
36,1,3,140,13820,1073,100205,c,S,2,1,205,205798,2,2,1,3,9,4,9,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,80,2, , , , , , ,3,3,3,2,1,3,4,2,1, ,1, , ,2, , , , , , ,4,3,2,1,0,99,7,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.25,1
37,1,3,148,13820,1073,100305,c,U,1,1,205,205822,2,1,2,2,3,3,3,2,1,1,1,1,1,2,10, , ,3,1,1,2,1,3, ,2,3,2,3,3,3,3,3,3,3,4,8,1, ,40, ,2,2, , , , , , , , , , , , , , , ,8,8,8,8,1,8,2,2, , , , , , , , ,3, ,2, , ,1, , , , , ,1,60,2, , , , , , ,6,1,3,2,1,1,1,2,1, ,2,2,1,6, , , , , , ,3,3,4,1,1,2,1,1,3,1,3,1, ,99, ,99,9,1,6,0,1,3,1.25,1
38,1,3,137,13820,1073,100505,c,U,1,1,205,205925,9,2,1,9,9,4,9,9,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,44,2, , , , , , ,2,5,3,2,2,9,9,2,1, ,1, , ,1, , , , , , ,2,3,1,2,0,99,3,0,9,98,98,9, ,99, ,99,9, , , , ,3,4.125,1
39,1,3,133,13820,1073,93005,c,S,2,1,205,205941,9,1,2,1,1,2,2,1,1,1,1,2, , ,6, ,2, ,1,4,2,2,3, ,2,3,3,3,3,3,2,2,2,2,2,3,6,2, ,1,3,2, , , , , , , , , , , , , , , ,1,2,8,1,1,2,2,2,2,2,2,2,1,2,2, , , , , , , , ,8,1,1,0,2,53,2, , , , , , ,7,1,3,2,1,3,2,3,97, , , ,1,9, , , ,NO TIME, , ,3,3,4,1,1,2,5,1,2,4,3,1, ,99, ,99,9, ,6,2,1,3,1.02083333333333,1
40,1,4,7,42660,53033,91605,p,U,1,53,206,206283,1,2,1,1,2,1,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,50, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,77,2, , , , , , ,7,3,3,2,1,2,1,2,1, ,2, , ,6, , , , , , ,4,3,4,1,0,99,5,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.04166666666667,1
41,1,4,178,42660,53033,101005,p,U,1,53,206,206352,2,3,4,1,4,1,4,2,1,1,1,1,1,2,10, , ,1,1,1,1,1,1, ,2,2,2,2,3,2,5,3,3,8,3,8,6,2, ,1,3,1,1,1,1, , , , , , , , , ,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , , , , , ,8,2,3,1,28,2, , , , , , ,6,1,3,2,1,2,1,5,97, , ,2,1,6, , , , , , ,1,3,4,1,1,1,1,1,3,1,4,1, ,99, ,99,9,1,6,0,1,3,1.54166666666667,1
42,1,1,139,38860,23031,100205,e,S,2,23,207,207324,1,2,4,1,1,4,1,1,1,1,1,1,1,2,4, , ,6,2, ,2,1,3, ,3,3,3,3,3,3,1,8,8,1,8,8,6,1,4, ,1,2, , , , , , , , , , , , , , , ,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,1, , , , , ,2,23,1,3,0, ,0, , ,3,4,2,2,1,4,4,5,97, , ,3, ,1, , , , , , ,1,2,2,1,1,2,7,1,1,6,3,1,2,2,0,8,0,1,4,0,2,2,4,1
